SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni,OBJECTID,PRO_COM,SEZ,TIPO_LOC,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis,geometry,P1divSHAPE
151460000032.00000000,68,2,3,1,3,3,2,7,6,4,2,2,6,6,9,5,7,2.94117647058823,10.2941176470588,55.8823529411765,30.8823529411765,51573,15146,32,1,16381.20443830000,657.11754423600,78.00000000000,1.00000000000,4,5.8800000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.181965,45.465749 9.181957,45.46581 9.181904,45.465843 9.181989,45.465964 9.181655,45.466105 9.182055,45.466574 9.181659,45.467113 9.182015,45.46726 9.182298,45.467381 9.182143,45.467478 9.182463,45.467657 9.182673,45.467791 9.182809,45.467695 9.183291,45.467315 9.183101,45.467156 9.182866,45.46701 9.183139,45.466548 9.182736,45.466418 9.182744,45.466257 9.182701,45.466014 9.182539,45.465912 9.182523,45.465826 9.182542,45.465685 9.181965,45.465749</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.4151098916817918
151460000033.00000000,40,1,2,1,4,1,2,1,3,2,7,0,5,8,3,0,0,2.5,17.5,72.5,7.5,51574,15146,33,1,6237.66873328000,363.46590443500,40.00000000000,1.00000000000,5,12.2000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.182866,45.46701 9.183101,45.467156 9.184218,45.466302 9.183537,45.465863 9.183139,45.466548 9.182866,45.46701</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.6412652179906081
151460000034.00000000,15,0,0,0,0,0,1,1,0,0,2,1,2,2,2,1,3,0,0,60,40,51575,15146,34,1,4505.34082099000,285.03257285500,20.00000000000,1.00000000000,2,13.3300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.182523,45.465826 9.182539,45.465912 9.182701,45.466014 9.182744,45.466257 9.182736,45.466418 9.183139,45.466548 9.183537,45.465863 9.182831,45.465701 9.182542,45.465685 9.182523,45.465826</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.3329381859440306
151460000035.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51576,15146,35,1,7114.04190488000,345.71524209900,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.182585,45.465054 9.182542,45.465685 9.182831,45.465701 9.183537,45.465863 9.183916,45.465325 9.183992,45.465179 9.182655,45.465057 9.182585,45.465054</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000036.00000000,27,1,2,2,2,2,0,1,0,1,3,5,2,1,1,0,4,3.7037037037037,22.2222222222222,55.5555555555556,18.5185185185185,51577,15146,36,1,10274.43425750000,431.21516584100,31.00000000000,1.00000000000,1,3.7000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.185198,45.465272 9.183992,45.465179 9.183916,45.465325 9.183537,45.465863 9.184218,45.466302 9.185053,45.465666 9.185556,45.46531 9.185198,45.465272</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.26278819177115165
151460000037.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51578,15146,37,1,4943.89428198000,303.39084531200,0.00000000000,2.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.185556,45.46531 9.186601,45.465385 9.186855,45.464804 9.186531,45.464538 9.186013,45.464946 9.185556,45.46531</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000038.00000000,20,0,0,1,1,1,1,0,0,2,2,3,0,2,2,2,3,0,10,55,35,51579,15146,38,1,15117.47798850000,579.57242120700,30.00000000000,1.00000000000,1,5.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.186855,45.464804 9.187175,45.464692 9.188856,45.464021 9.188842,45.463015 9.188611,45.463061 9.188012,45.463464 9.187496,45.463819 9.186531,45.464538 9.186855,45.464804</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.13229719940861945
151460000039.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54620,15146,39,1,6038.73888528000,448.62695065600,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.187175,45.464692 9.186855,45.464804 9.187125,45.46493 9.188432,45.464935 9.18811,45.464598 9.188855,45.464284 9.188856,45.464021 9.187175,45.464692</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000040.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51580,15146,40,1,2827.26710268000,221.16270075800,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.18811,45.464598 9.188432,45.464935 9.188881,45.46494 9.188868,45.464461 9.188855,45.464284 9.18811,45.464598</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000041.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51581,15146,41,1,5222.27607079000,306.96153408200,0.00000000000,2.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.188432,45.464935 9.187125,45.46493 9.187114,45.465062 9.187981,45.465564 9.18868,45.465163 9.188432,45.464935</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000042.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51582,15146,42,1,5001.06730428000,293.59484592200,0.00000000000,2.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.18855,45.465894 9.18888,45.466096 9.18928,45.465849 9.18868,45.465163 9.187981,45.465564 9.188072,45.46562 9.18828,45.465739 9.18855,45.465894</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
