OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
50665,15146,259,1,151460000259,7988.64415804,399.394275817,58,1,4,7.55
50666,15146,260,1,151460000260,7361.77103232,349.103110099,62,1,1,1.59
50670,15146,265,1,151460000265,4180.4734286,322.97609913,43,1,3,6.67
50674,15146,269,1,151460000269,9252.96726192,787.421123174,147,1,25,18.12
50678,15146,273,1,151460000273,1101.9164319,149.586615229,5,1,0,0
51545,15146,4,1,151460000004,2383.06361458,214.246423093,14,1,0,0
51546,15146,5,1,151460000005,21974.4250703,608.489956469,7,1,0,0
51555,15146,14,1,151460000014,2478.34910772,210.777247204,5,1,0,0
51564,15146,23,1,151460000023,1070.95894142,150.612712453,0,1,0,0
51569,15146,28,1,151460000028,13078.0778838,463.536320212,115,1,14,12.5
51571,15146,30,1,151460000030,21960.4729988,617.82689904,140,1,11,9.32
51574,15146,33,1,151460000033,6237.66873328,363.465904435,40,1,5,12.2
51586,15146,46,1,151460000046,2839.71939988,213.134615936,2,1,0,0
51588,15146,48,1,151460000048,13145.9081428,577.215140936,25,1,1,4.76
51591,15146,51,1,151460000051,10326.4841011,493.284538119,22,1,2,10.53
51593,15146,53,1,151460000053,8764.42166396,393.673633873,0,1,0,0
51606,15146,67,1,151460000067,21015.2563197,619.053522585,37,1,0,0
51612,15146,73,1,151460000073,23064.7044001,758.508134025,126,1,11,9.73
51622,15146,83,1,151460000083,43693.7803633,954.967063505,349,1,76,23.9
51691,15146,178,1,151460000178,2209.94917156,193.483184176,77,1,0,0
51693,15146,181,1,151460000181,7175.57392088,350.17624648,90,1,5,6.49
51695,15146,183,1,151460000183,2270.73329648,210.530638446,26,1,0,0
51702,15146,190,1,151460000190,10643.3465184,416.962914023,81,1,9,12.16
51705,15146,193,1,151460000193,9369.167496,417.201027784,16,1,3,50
51707,15146,195,1,151460000195,10173.9291932,449.658086338,103,1,9,9.68
51719,15146,207,1,151460000207,12575.5502462,555.730575123,60,1,4,7.02
51723,15146,211,1,151460000211,10433.7221543,620.796749512,205,1,26,12.26
51726,15146,214,1,151460000214,10176.1061035,402.638909208,120,1,12,10.91
51731,15146,220,1,151460000220,10909.6565282,442.727236277,94,1,4,4.94
51735,15146,224,1,151460000224,6624.35403267,405.879287309,24,1,7,28
51632,15146,93,1,151460000093,17625.3212423,513.12578638,152,2,15,11.28
51634,15146,95,1,151460000095,11025.7073349,624.961721289,44,2,1,2.38
51646,15146,108,1,151460000108,36009.9939081,974.004640369,120,2,16,14.95
51656,15146,118,1,151460000118,11977.4609471,453.100720074,105,2,13,12.38
51657,15146,119,1,151460000119,4979.92957044,294.787281269,79,2,9,12.33
51661,15146,123,1,151460000123,21544.1625003,608.666584226,141,2,17,12.41
51675,15146,137,1,151460000137,21532.8941035,582.423526454,131,2,27,22.13
51845,15146,386,1,151460000386,3338.38848324,304.401613993,47,2,3,8.82
51846,15146,387,1,151460000387,6272.72673096,321.983266364,2,2,0,0
51867,15146,432,1,151460000432,11605.0162641,487.246139233,316,2,25,8.45
51884,15146,450,1,151460000450,15340.0705275,543.655960078,50,2,9,15.52
51888,15146,455,1,151460000455,12029.3584707,657.375744802,270,2,16,6.67
51890,15146,459,1,151460000459,9069.2447081,405.785710406,96,2,5,5.56
51898,15146,467,1,151460000467,12403.4588449,521.59982171,271,2,16,6.37
51901,15146,470,1,151460000470,16767.442247,534.904447353,16,2,6,35.29
51917,15146,487,1,151460000487,9423.37576888,406.162545635,135,2,21,16.15
52819,15146,666,1,151460000666,20672.3608362,513.595822763,0,2,0,0
54572,15146,458,1,151460000458,19223.238853,741.427713968,287,2,32,11.72
51578,15146,37,1,151460000037,4943.89428198,303.390845312,0,2,0,0
51626,15146,87,1,151460000087,8698.2891548,496.433645515,2,2,0,0
51635,15146,96,1,151460000096,5200.32340472,292.976267413,0,2,0,0
51639,15146,100,1,151460000100,6291.73926336,325.852490655,0,2,0,0
51643,15146,105,1,151460000105,14253.2991679,630.530480045,72,2,28,38.89
51647,15146,109,1,151460000109,17856.5575275,741.988196361,49,2,5,9.26
51664,15146,126,1,151460000126,14092.149802,476.312808371,198,2,15,9.26
51668,15146,130,1,151460000130,5558.80755148,383.009963352,96,2,7,8.75
51670,15146,132,1,151460000132,4545.89429526,333.752516424,93,2,14,15.91
51672,15146,134,1,151460000134,20841.7300823,638.7527664,256,2,42,17.5
51870,15146,436,1,151460000436,16484.0795365,594.337056125,119,2,10,10.64
51873,15146,439,1,151460000439,27931.65836,670.569992945,477,2,32,7.29
51876,15146,442,1,151460000442,7641.9722026,363.948846462,78,2,8,10.39
51880,15146,446,1,151460000446,23492.2876274,676.561723127,133,2,23,19.01
