SEZ2011,P1,ST1,ST2,%ST,FST,%MST,ST9,ST10,ST11,ST12,ST13,%STCONTEU,%STCONTAF,%STCONTAM,%STCONTAS,%STCONTOC,PF1,DMFAM,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,RES1,RES2,RES3,ST1,ST2,ST3,ST/RES1,ST/RES2,ST/RES3
151460000011.00000000,12,1,0,8.33333333333333,1,100,0,0,0,1,0,0,0,0,100,0,7,1.71428571428571,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,1,2,4,6,0,1,0,0,25,0
151460000012.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000014.00000000,2,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,#DIV/0!,#DIV/0!,0
151460000015.00000000,3,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,#DIV/0!,#DIV/0!,0
151460000016.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000017.00000000,5,3,2,60,1,33.3333333333333,0,0,0,3,0,0,0,0,100,0,2,2.5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,3,1,1,1,100,100,33.3333333333333
151460000018.00000000,30,8,1,26.6666666666667,7,87.5,6,0,1,1,0,75,0,12.5,12.5,0,13,2.30769230769231,0,2,2,1,2,2,1,2,3,2,4,5,2,0,0,2,9,12,9,0,5,3,0,41.6666666666667,33.3333333333333
151460000019.00000000,64,14,6,21.875,8,57.1428571428571,2,5,0,7,0,14.2857142857143,35.7142857142857,0,50,0,33,1.93939393939394,2,6,4,3,4,2,2,7,6,6,4,1,4,4,3,6,21,25,18,7,5,2,33.3333333333333,20,11.1111111111111
151460000020.00000000,14,3,2,21.4285714285714,1,33.3333333333333,3,0,0,0,0,100,0,0,0,0,7,2,0,0,0,1,1,2,0,0,0,0,2,1,2,3,1,1,4,2,8,0,1,2,0,50,25
151460000021.00000000,146,11,1,7.53424657534247,10,90.9090909090909,8,0,3,0,0,72.7272727272727,0,27.2727272727273,0,0,72,2.02777777777778,17,5,4,6,9,6,13,15,18,13,7,6,5,5,8,9,47,66,33,5,5,1,10.6382978723404,7.57575757575758,3.03030303030303
151460000022.00000000,350,31,10,8.85714285714286,21,67.741935483871,14,4,7,6,0,45.1612903225807,12.9032258064516,22.5806451612903,19.3548387096774,0,186,1.88172043010753,17,19,13,19,9,18,25,25,27,31,39,19,21,16,24,28,95,147,108,4,19,8,4.21052631578947,12.9251700680272,7.40740740740741
151460000023.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000024.00000000,116,5,2,4.31034482758621,3,60,0,0,1,4,0,0,0,20,80,0,51,2.27450980392157,9,7,5,8,5,1,4,7,13,5,4,9,5,9,12,13,35,33,48,2,2,1,5.71428571428571,6.06060606060606,2.08333333333333
151460000025.00000000,100,16,6,16,10,62.5,4,0,1,11,0,25,0,6.25,68.75,0,48,2.08333333333333,5,6,8,7,3,6,6,12,6,8,6,2,10,2,6,7,35,38,27,5,11,0,14.2857142857143,28.9473684210526,0
151460000026.00000000,10,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8,1.25,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,2,1,4,5,0,0,0,0,0,0
151460000027.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
